"Date","ANTIOQUIA_CHOCO","CENTRO","EJE_CAFETERO","NORTE","OCCIDENTE","Total"
2017-01-01,305,197,56,88,74,720
2017-01-02,452,318,101,124,171,1166
2017-01-03,406,296,93,148,139,1082
2017-01-04,335,260,81,131,123,930
2017-01-05,360,265,118,113,141,997
2017-01-06,480,327,129,150,163,1249
2017-01-07,518,374,131,197,163,1383
2017-01-08,401,256,106,131,115,1009
2017-01-09,329,237,83,97,89,835
2017-01-10,497,342,88,138,167,1232
2017-01-11,460,330,73,116,120,1099
2017-01-12,444,312,73,96,119,1044
2017-01-13,605,439,107,103,184,1438
2017-01-14,800,514,95,141,195,1745
2017-01-15,288,198,56,90,84,716
2017-01-16,463,262,55,125,119,1024
2017-01-17,406,305,65,112,82,970
2017-01-18,381,305,72,91,132,981
2017-01-19,415,319,56,100,137,1027
2017-01-20,638,459,88,128,164,1477
2017-01-21,739,654,90,116,195,1794
2017-01-22,293,228,46,88,115,770
2017-01-23,440,363,75,106,152,1136
2017-01-24,399,299,69,99,132,998
2017-01-25,410,298,79,63,134,984
2017-01-26,418,288,58,77,142,983
2017-01-27,682,497,85,121,217,1602
2017-01-28,790,658,62,118,190,1818
2017-01-29,285,246,35,54,101,721
2017-01-30,386,323,67,107,142,1025
2017-01-31,403,313,53,93,133,995
2017-02-01,372,282,71,101,144,970
2017-02-02,406,206,50,109,155,926
2017-02-03,626,527,67,148,180,1548
2017-02-04,806,659,78,130,223,1896
2017-02-05,301,220,46,62,102,731
2017-02-06,393,329,80,117,161,1080
2017-02-07,374,298,58,92,137,959
2017-02-08,323,393,52,95,121,984
2017-02-09,378,329,68,102,123,1000
2017-02-10,698,540,68,95,187,1588
2017-02-11,863,664,79,117,216,1939
2017-02-12,272,221,58,82,95,728
2017-02-13,374,272,45,86,128,905
2017-02-14,405,263,65,105,112,950
2017-02-15,349,260,64,93,108,874
2017-02-16,421,306,67,91,147,1032
2017-02-17,644,492,75,119,193,1523
2017-02-18,928,696,79,144,212,2059
